2022-02-07, 39061.76, 
2022-02-06, 39061.76, 
2022-02-05, 39061.76, 
2022-02-04, 39061.76, 
2022-02-03, 39061.76, 
2022-02-02, 39061.76, 
2022-02-01, 39061.76, 
2022-01-31, 39061.76, 
2022-01-30, 39061.76, 
2022-01-29, 39061.76, 
2022-01-28, 39061.76, 
2022-01-27, 39061.76, 
2022-01-26, 39061.76, 
2022-01-25, 39061.76, 
2022-01-24, 39061.77, AAPL AMZN MSFT GOOGL 
2022-01-23, 38094.99, 
2022-01-22, 38094.99, 
2022-01-21, 38094.99, 
2022-01-20, 38094.99, 
2022-01-19, 38094.99, 
2022-01-18, 38094.99, 
2022-01-17, 38094.99, 
2022-01-16, 38094.99, 
2022-01-15, 38094.99, 
2022-01-14, 38094.99, 
2022-01-13, 38094.99, 
2022-01-12, 38094.99, 
2022-01-11, 38094.99, 
2022-01-10, 38094.99, AAPL AMZN TSLA 
2022-01-09, 37101.19, 
2022-01-08, 37101.19, 
2022-01-07, 37101.19, 
2022-01-06, 37101.2, MSFT GOOGL 
2022-01-05, 36957.77, MSFT GOOGL 
2022-01-04, 38384.75, 
2022-01-03, 38384.75, 
2022-01-02, 38384.75, 
2022-01-01, 38384.75, 
2021-12-31, 38384.75, 
2021-12-30, 38384.75, 
2021-12-29, 38384.75, 
2021-12-28, 38384.75, 
2021-12-27, 38384.75, 
2021-12-26, 38384.75, 
2021-12-25, 38384.75, 
2021-12-24, 38384.75, 
2021-12-23, 38384.75, 
2021-12-22, 38384.75, 
2021-12-21, 38384.75, 
2021-12-20, 38384.75, 
2021-12-19, 38384.75, 
2021-12-18, 38384.75, 
2021-12-17, 38384.75, 
2021-12-16, 38384.75, 
2021-12-15, 38384.75, 
2021-12-14, 38384.75, 
2021-12-13, 38384.75, 
2021-12-12, 38384.75, 
2021-12-11, 38384.75, 
2021-12-10, 38384.75, 
2021-12-09, 38384.75, 
2021-12-08, 38384.75, 
2021-12-07, 38384.75, 
2021-12-06, 38384.75, AMZN MSFT 
2021-12-05, 38062.36, 
2021-12-04, 38062.36, 
2021-12-03, 38062.36, 
2021-12-02, 38062.36, 
2021-12-01, 38062.36, 
2021-11-30, 38062.36, 
2021-11-29, 38062.36, 
2021-11-28, 38062.36, 
2021-11-27, 38062.36, 
2021-11-26, 38062.36, 
2021-11-25, 38062.36, 
2021-11-24, 38062.36, 
2021-11-23, 38062.36, 
2021-11-22, 38062.36, 
2021-11-21, 38062.36, 
2021-11-20, 38062.36, 
2021-11-19, 38062.36, 
2021-11-18, 38062.36, 
2021-11-17, 38062.36, 
2021-11-16, 38062.36, 
2021-11-15, 38062.36, 
2021-11-14, 38062.36, 
2021-11-13, 38062.36, 
2021-11-12, 38062.36, GOOGL 
2021-11-11, 37534.36, MSFT GOOGL 
2021-11-10, 37560.83, 
2021-11-09, 37560.83, 
2021-11-08, 37560.83, 
2021-11-07, 37560.83, 
2021-11-06, 37560.83, 
2021-11-05, 37560.83, 
2021-11-04, 37560.83, 
2021-11-03, 37560.83, 
2021-11-02, 37560.83, 
2021-11-01, 37560.83, 
2021-10-31, 37560.83, 
2021-10-30, 37560.83, 
2021-10-29, 37560.83, 
2021-10-28, 37560.83, AAPL 
2021-10-27, 36884.33, 
2021-10-26, 36884.33, 
2021-10-25, 36884.33, 
2021-10-24, 36884.33, 
2021-10-23, 36884.33, 
2021-10-22, 36884.33, 
2021-10-21, 36884.33, 
2021-10-20, 36884.33, 
2021-10-19, 36884.33, 
2021-10-18, 36884.33, 
2021-10-17, 36884.33, 
2021-10-16, 36884.33, 
2021-10-15, 36884.33, 
2021-10-14, 36884.33, 
2021-10-13, 36884.33, 
2021-10-12, 36884.33, 
2021-10-11, 36884.33, 
2021-10-10, 36884.33, 
2021-10-09, 36884.33, 
2021-10-08, 36884.33, 
2021-10-07, 36884.33, 
2021-10-06, 36884.33, TSLA 
2021-10-05, 36576.49, AMZN 
2021-10-04, 36389.22, AMZN 
2021-10-03, 37410.78, 
2021-10-02, 37410.78, 
2021-10-01, 37410.78, MSFT 
2021-09-30, 36510.36, 
2021-09-29, 36510.36, 
2021-09-28, 36510.36, 
2021-09-27, 36510.36, 
2021-09-26, 36510.36, 
2021-09-25, 36510.36, 
2021-09-24, 36510.36, 
2021-09-23, 36510.36, 
2021-09-22, 36510.36, 
2021-09-21, 36510.36, 
2021-09-20, 36510.36, 
2021-09-19, 36510.36, 
2021-09-18, 36510.36, 
2021-09-17, 36510.36, 
2021-09-16, 36510.36, 
2021-09-15, 36510.36, AAPL AMZN 
2021-09-14, 36278.36, AAPL 
2021-09-13, 36822.49, 
2021-09-12, 36822.49, 
2021-09-11, 36822.49, 
2021-09-10, 36822.49, 
2021-09-09, 36822.49, 
